id,birth_month,birth_year,education_dad,education_mom,drug_use_score,flag_female,flag_black,flag_hispanic,flag_divorce,school_quality,year,CV_CENSUS_REGION,education,hours_worked_since02,wage,log_wage,fte_experience,flag_working,flag_married,num_children,fte_experience_sq,age
5610,9,1983,12,16,0,1,1,0,0,-1,2017,3,20,20109,84.13,4.4323632215627224,10.0545,1,0,0,101.09297025000002,34
5610,9,1983,12,16,0,1,1,0,0,-1,2019,3,20,24089,84.13,4.4323632215627224,12.0445,1,0,0,145.06998025,36
5610,9,1983,12,16,0,1,1,0,0,-1,2021,3,20,31729,64.1,4.160444363926624,15.8645,1,0,0,251.68236025,38
5611,5,1981,7,12,0,0,1,0,0,3,2010,3,10,13707,NA,NA,6.8535,0,0,0,46.970462250000004,29
5611,5,1981,7,12,0,0,1,0,0,3,2011,3,10,14677,8,2.0794415416798357,7.3385,1,0,2,53.853582249999995,30
5611,5,1981,7,12,0,0,1,0,0,3,2013,3,10,15071,8,2.0794415416798357,7.5355,1,0,0,56.78376025,32
5611,5,1981,7,12,0,0,1,0,0,3,2015,3,10,18695,7.5,2.0149030205422647,9.3475,1,1,0,87.37575625000001,34
5611,5,1981,7,12,0,0,1,0,0,3,2017,3,10,22641,9,2.1972245773362196,11.3205,1,1,0,128.15372025,36
5611,5,1981,7,12,0,0,1,0,0,3,2021,3,10,28049,10,2.302585092994046,14.0245,1,0,0,196.68660025,40
5612,11,1982,7,12,2,0,1,0,0,-1,2010,3,12,15031,NA,NA,7.5155,0,0,0,56.482740250000006,28
5612,11,1982,7,12,2,0,1,0,0,-1,2011,3,12,16166,10,2.302585092994046,8.083,1,0,0,65.334889,29
5612,11,1982,7,12,2,0,1,0,0,-1,2013,3,12,16166,12,2.4849066497880004,8.083,1,0,0,65.334889,31
5612,11,1982,7,12,2,0,1,0,0,-1,2015,3,12,19238,11,2.3978952727983707,9.619,1,0,0,92.525161,33
5612,11,1982,7,12,2,0,1,0,0,-1,2017,3,12,22238,17,2.833213344056216,11.119,1,0,0,123.632161,35
5612,11,1982,7,12,2,0,1,0,0,-1,2019,3,12,26738,20,2.995732273553991,13.369,1,0,0,178.73016099999998,37
5612,11,1982,7,12,2,0,1,0,0,-1,2021,3,12,30538,32.15,3.4704124506836282,15.269,1,0,0,233.142361,39
5613,11,1981,10,12,0,1,1,0,0,2,2010,3,16,8169,9.15,2.21375387928743,4.0845,1,0,0,16.68314025,29
5613,11,1981,10,12,0,1,1,0,0,2,2011,3,16,10024,9.5,2.2512917986064953,5.012,1,0,0,25.120143999999996,30
5613,11,1981,10,12,0,1,1,0,0,2,2013,3,16,13689,10,2.302585092994046,6.8445,1,0,0,46.84718025,32
5613,11,1981,10,12,0,1,1,0,0,2,2015,3,16,17825,12.5,2.5257286443082556,8.9125,1,0,0,79.43265625,34
5613,11,1981,10,12,0,1,1,0,0,2,2017,3,16,21603,10.48,2.349468678892896,10.8015,1,0,1,116.67240225000002,36
5613,11,1981,10,12,0,1,1,0,0,2,2019,3,16,25298,11,2.3978952727983707,12.649,1,0,0,159.997201,38
5613,11,1981,10,12,0,1,1,0,0,2,2021,3,19,28898,16.85,2.8243506567983707,14.449,1,0,0,208.77360099999999,40
5614,12,1982,16,16,0,0,0,0,0,3,2010,3,16,14535,18.65,2.9258461460898246,7.2675,1,1,0,52.81655625,28
5614,12,1982,16,16,0,0,0,0,0,3,2011,3,16,17249,21.45,3.065724645374026,8.6245,1,1,0,74.38200024999999,29
5614,12,1982,16,16,0,0,0,0,0,3,2013,3,16,22449,19.25,2.9575110607337933,11.2245,1,0,0,125.98940025000002,31
5614,12,1982,16,16,0,0,0,0,0,3,2015,3,16,22449,NA,NA,11.2245,0,0,0,125.98940025000002,33
5614,12,1982,16,16,0,0,0,0,0,3,2019,3,16,22449,NA,NA,11.2245,0,0,0,125.98940025000002,37
5614,12,1982,16,16,0,0,0,0,0,3,2021,3,16,22449,NA,NA,11.2245,0,0,0,125.98940025000002,39
5615,2,1981,12,18,47,1,0,0,0,-1,2010,3,13,11520,7.5,2.0149030205422647,5.76,1,0,2,33.1776,29
5615,2,1981,12,18,47,1,0,0,0,-1,2011,3,14,11520,7.25,1.9810014688665833,5.76,1,0,2,33.1776,30
5615,2,1981,12,18,47,1,0,0,0,-1,2013,3,16,13428,35.53,3.5703774100329357,6.714,1,0,2,45.077796000000006,32
5615,2,1981,12,18,47,1,0,0,0,-1,2017,3,17,21018,16,2.772588722239781,10.509,1,0,4,110.439081,36
5615,2,1981,12,18,47,1,0,0,0,-1,2019,3,19,25248,17.5,2.8622008809294686,12.624,1,0,0,159.36537600000003,38
5615,2,1981,12,18,47,1,0,0,0,-1,2021,3,19,29598,21.5,3.068052935133617,14.799,1,0,0,219.01040099999997,40
5616,8,1983,18,17,0,1,0,0,0,3,2010,3,12,8390,13.25,2.583997552432231,4.195,1,1,1,17.598025000000003,27
5616,8,1983,18,17,0,1,0,0,0,3,2011,3,12,9891,13.35,2.5915163848462583,4.9455,1,1,1,24.45797025,28
5616,8,1983,18,17,0,1,0,0,0,3,2013,3,12,13561,14,2.6390573296152584,6.7805,1,1,1,45.97518025,30
5616,8,1983,18,17,0,1,0,0,0,3,2015,3,12,17521,16.83,2.8231630082027146,8.7605,1,1,2,76.74636025000001,32
5616,8,1983,18,17,0,1,0,0,0,3,2017,3,12,21721,14.42,2.668616131856803,10.8605,1,0,2,117.95046025,34
5616,8,1983,18,17,0,1,0,0,0,3,2019,3,12,25861,15,2.70805020110221,12.9305,1,0,0,167.19783025,36
5616,8,1983,18,17,0,1,0,0,0,3,2021,4,12,29395,22.77,3.125443880075648,14.6975,1,1,0,216.01650625,38
5617,1,1984,12,12,0,0,0,0,0,3,2010,3,12,16405,14,2.6390573296152584,8.2025,1,1,1,67.28100625,26
5617,1,1984,12,12,0,0,0,0,0,3,2011,3,12,18793,14,2.6390573296152584,9.3965,1,1,1,88.29421224999999,27
5617,1,1984,12,12,0,0,0,0,0,3,2013,3,12,22648,14,2.6390573296152584,11.324,1,1,1,128.232976,29
5617,1,1984,12,12,0,0,0,0,0,3,2015,3,12,27328,16,2.772588722239781,13.664,1,1,1,186.704896,31
5617,1,1984,12,12,0,0,0,0,0,3,2017,4,12,32518,28,3.332204510175204,16.259,1,1,1,264.355081,33
5617,1,1984,12,12,0,0,0,0,0,3,2019,3,12,37263,30,3.4011973816621555,18.6315,1,1,0,347.13279224999997,35
